mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.24404549598693848,0.00646519660949707,0.012729644775390625,0.0005323886871337891,118,{'classifier__n_estimators': 118},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.23826873302459717,0.0027936697006225586,0.012858986854553223,0.00030791759490966797,117,{'classifier__n_estimators': 117},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.24767446517944336,0.0046002864837646484,0.013828635215759277,0.001824021339416504,119,{'classifier__n_estimators': 119},0.8202247191011236,0.7921348314606742,0.8061797752808989,0.014044943820224698,1
0.22863173484802246,0.007969141006469727,0.012142658233642578,0.0008594989776611328,111,{'classifier__n_estimators': 111},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.22698497772216797,0.003546476364135742,0.011730074882507324,0.00032269954681396484,122,{'classifier__n_estimators': 122},0.8202247191011236,0.7893258426966292,0.8047752808988764,0.015449438202247201,4
0.18134701251983643,0.007647871971130371,0.009388089179992676,0.0003739595413208008,135,{'classifier__n_estimators': 135},0.8174157303370787,0.7921348314606742,0.8047752808988764,0.01264044943820225,4
0.21102643013000488,0.02035689353942871,0.010819196701049805,0.0009918212890625,140,{'classifier__n_estimators': 140},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.18709957599639893,0.001330256462097168,0.00986480712890625,0.0006086826324462891,136,{'classifier__n_estimators': 136},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1911938190460205,0.008896350860595703,0.00981438159942627,0.002690434455871582,138,{'classifier__n_estimators': 138},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.25297999382019043,0.0005061626434326172,0.014034628868103027,0.00029075145721435547,113,{'classifier__n_estimators': 113},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.18461501598358154,0.006195664405822754,0.0091019868850708,0.0019119977951049805,139,{'classifier__n_estimators': 139},0.8146067415730337,0.7949438202247191,0.8047752808988764,0.0098314606741573,4
0.1466459035873413,0.0013877153396606445,0.008501052856445312,0.0005004405975341797,129,{'classifier__n_estimators': 129},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.19516420364379883,0.0031659603118896484,0.0083465576171875,0.0002815723419189453,137,{'classifier__n_estimators': 137},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.16920244693756104,0.008797764778137207,0.00880575180053711,0.0014896392822265625,134,{'classifier__n_estimators': 134},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.16106641292572021,0.0021604299545288086,0.008009552955627441,7.271766662597656e-06,133,{'classifier__n_estimators': 133},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.15050804615020752,0.0025168657302856445,0.00860285758972168,0.0013899803161621094,132,{'classifier__n_estimators': 132},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1680516004562378,0.0012909173965454102,0.008078932762145996,0.0010696649551391602,131,{'classifier__n_estimators': 131},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.27177584171295166,0.045400261878967285,0.029331326484680176,0.01667964458465576,110,{'classifier__n_estimators': 110},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1577599048614502,0.0014200210571289062,0.008229732513427734,0.00024247169494628906,127,{'classifier__n_estimators': 127},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.1559375524520874,0.0008054971694946289,0.008618831634521484,0.0008420944213867188,126,{'classifier__n_estimators': 126},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.22253680229187012,0.0017883777618408203,0.011989235877990723,2.0265579223632812e-06,121,{'classifier__n_estimators': 121},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.22223949432373047,0.0006206035614013672,0.012029051780700684,0.0009921789169311523,120,{'classifier__n_estimators': 120},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.25684964656829834,0.004493355751037598,0.01628565788269043,0.0010876655578613281,115,{'classifier__n_estimators': 115},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.2565600872039795,0.002794027328491211,0.017746925354003906,0.005015850067138672,114,{'classifier__n_estimators': 114},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.34343814849853516,0.08052325248718262,0.013578653335571289,2.4318695068359375e-05,112,{'classifier__n_estimators': 112},0.8146067415730337,0.7921348314606742,0.803370786516854,0.011235955056179747,12
0.17844176292419434,0.017470121383666992,0.009067058563232422,0.0010654926300048828,124,{'classifier__n_estimators': 124},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.19433379173278809,0.008672952651977539,0.010129809379577637,2.8252601623535156e-05,123,{'classifier__n_estimators': 123},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.24379897117614746,0.002995729446411133,0.012479901313781738,0.0011490583419799805,116,{'classifier__n_estimators': 116},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
0.18712282180786133,0.011678695678710938,0.010603189468383789,0.00010728836059570312,125,{'classifier__n_estimators': 125},0.8117977528089888,0.7921348314606742,0.8019662921348315,0.0098314606741573,26
