mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0055408477783203125,0.0005288124084472656,0.0019954442977905273,5.602836608886719e-06,10.0,l1,"{'classifier__C': 10.0, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.004943251609802246,0.00033295154571533203,0.0020742416381835938,3.62396240234375e-05,8.9,l1,"{'classifier__C': 8.9, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.004002094268798828,1.430511474609375e-06,0.001999378204345703,9.5367431640625e-07,2.3000000000000003,l2,"{'classifier__C': 2.3000000000000003, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7752808988764045,0.7851123595505618,0.0098314606741573,1
0.005141735076904297,0.00014019012451171875,0.002547025680541992,0.0004570484161376953,5.6,l1,"{'classifier__C': 5.6, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004077434539794922,0.0010769367218017578,0.0026259422302246094,0.0006253719329833984,5.6,l2,"{'classifier__C': 5.6, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.004143834114074707,1.2993812561035156e-05,0.0025386810302734375,0.0004897117614746094,8.9,l2,"{'classifier__C': 8.9, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.0036296844482421875,0.0006074905395507812,0.003885030746459961,0.00037980079650878906,7.800000000000001,l2,"{'classifier__C': 7.800000000000001, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.0055037736892700195,0.0004924535751342773,0.0029900074005126953,4.76837158203125e-07,7.800000000000001,l1,"{'classifier__C': 7.800000000000001, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004003286361694336,2.86102294921875e-06,0.0019921064376831055,8.463859558105469e-06,6.7,l2,"{'classifier__C': 6.7, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.005505681037902832,0.0004974603652954102,0.002505064010620117,0.0005044937133789062,6.7,l1,"{'classifier__C': 6.7, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.0036156177520751953,0.0005371570587158203,0.0025243759155273438,0.0004754066467285156,10.0,l2,"{'classifier__C': 10.0, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7724719101123596,0.7837078651685394,0.011235955056179747,4
0.004488348960876465,0.0010184049606323242,0.002016901969909668,8.225440979003906e-06,4.5,l2,"{'classifier__C': 4.5, 'classifier__penalty': 'l2'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.00580286979675293,0.0016434192657470703,0.002074003219604492,3.838539123535156e-05,4.5,l1,"{'classifier__C': 4.5, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004626274108886719,0.0016260147094726562,0.0025014877319335938,0.0004992485046386719,3.4000000000000004,l2,"{'classifier__C': 3.4000000000000004, 'classifier__penalty': 'l2'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.004499912261962891,0.0004992485046386719,0.002001166343688965,5.960464477539062e-07,3.4000000000000004,l1,"{'classifier__C': 3.4000000000000004, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7752808988764045,0.7837078651685394,0.008426966292134852,4
0.0035011768341064453,0.0004999637603759766,0.0025986433029174805,0.0005983114242553711,1.2000000000000002,l2,"{'classifier__C': 1.2000000000000002, 'classifier__penalty': 'l2'}",0.7949438202247191,0.7696629213483146,0.7823033707865168,0.01264044943820225,16
0.0045011043548583984,0.0005002021789550781,0.0025005340576171875,0.0004990100860595703,1.2000000000000002,l1,"{'classifier__C': 1.2000000000000002, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7696629213483146,0.7823033707865168,0.01264044943820225,16
0.005001544952392578,2.384185791015625e-07,0.0020487308502197266,4.482269287109375e-05,2.3000000000000003,l1,"{'classifier__C': 2.3000000000000003, 'classifier__penalty': 'l1'}",0.7921348314606742,0.7696629213483146,0.7808988764044944,0.011235955056179803,18
0.018362045288085938,0.013098955154418945,0.003107905387878418,0.001106858253479004,0.1,l2,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.7893258426966292,0.7668539325842697,0.7780898876404494,0.011235955056179747,19
0.004558920860290527,0.0005446672439575195,0.002523183822631836,0.0005142688751220703,0.1,l1,"{'classifier__C': 0.1, 'classifier__penalty': 'l1'}",0.7949438202247191,0.7528089887640449,0.773876404494382,0.021067415730337102,20
